id,full description
19.txt,"Aphrahat. “Demonstration 19: A Letter against the Jews, because they say that they will be gathered together - ܐܓܪܬܐ ܕܠܘܩܒܠ ܝܗܘܕ̈ܝܐ ܥܠ ܕܐܡܪܝܢ ܕܩܝܡ ܗܘ ܠܗܘܢ ܠܡܬܟܢܫܘ.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/19."
20.txt,"Aphrahat. “Demonstration 20: On Care for the Poor - ܬܚܘܝܬܐ ܕܥܠ ܦܘܪܢܣܐ ܕܡ̈ܣܟܢܐ.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/20."
21.txt,"Aphrahat. “Demonstration 21: On Persecution - ܬܚܘܝܬܐ ܕܪܕܘܦܝܐ.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/21."
22.txt,"Aphrahat. “Demonstration 22: On Death and the Last Times - ܬܚܘܝܬܐ ܕܡܘܬܐ ܘܕܙܒ̈ܢܐ ܐܚܪ̈ܝܐ .” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/22."
23.txt,"Aphrahat. “Demonstration 23: On the Grapecluster - ܬܚܘܝܬܐ ܕܛܘܛܝܬܐ .” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1907). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/23."
24.txt,"Aphrahat. “Prefatory Letter.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified July 4, 2017. https://syriaccorpus.org/24."
26.txt,"Jacob of Serugh. “On Joseph (Memra 1) - ܡܺܐܡܪܳܐ ܩܰܕܡܳܝܳܐ ܕܥܰܠ ܝܰܘܣܶܦ.” Based upon Vat. sir. 117. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/26."
27.txt,"Narsai. “On the Divine Revelations to Abraham - ܥܠ ܓܠܝܢ̈ܐ ܐܠܗܝ̈ܐ ܕܗܘܘ ܠܘܬ ܐܒܪܗܡ.” Based upon Alphonse Mingana ed., Narsai doctoris Syri homiliæ et carmina (Mausilii: Typis Fratrum Prædicatorum, 1905). Digital Syriac Corpus. Last modified July 5, 2017. https://syriaccorpus.org/27."
28.txt,"Narsai. “On the Divine Revelations to the Patriarchs and the Prophets - ܥܠ ܓܠܝ̈ܢܐ ܐܠܗ̈ܝܐ ܕܗܘܘ ܠܘܬ ܐܒܗ̈ܬܐ ܘܢܒ̈ܝܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/28."
29.txt,"Narsai. “On the Revelations to Abraham - ܥܠ ܓܠܝܢ̈ܐ ܕܠܘܬ ܐܒܪܗܡ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/29."
30.txt,"Narsai. “On the Birth of Our Lord - ܥܲܠ ܝܲܠܕܹܗ ܕܡܵܪܢ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/30."
31.txt,"Narsai. “On the Virgin Mary - ܥܲܠ ܡܵܪܬܿܝ ܡܲܪܝܲܡ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified November 10, 2020. https://syriaccorpus.org/31."
32.txt,"Narsai. “On Epiphany - ܥܲܠ ܕܸܢܚܵܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/32."
33.txt,"Narsai. “On John the Baptist - ܥܲܠ ܡܵܪܝ ܝܘܿܚܲܢܵܢ ܡܲܥܡܕܵܢ̇ܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/33."
34.txt,"Narsai. “On Peter and Paul - ܕܕܼܘܼܟܼܪܵܢܵܐ ܕܦܲܛܪܘܿܣ ܘܦܵܘܠܘܿܣ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/34."
35.txt,"Narsai. “On the Four Evangelists - ܥܲܠ ܫܠܝܼܚܹ̈ܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/35."
36.txt,"Narsai. “On Stephen - ܕܕܼܘܼܟܼܪܵܢܵܐ ܕܡܵܪܝ ܐܸܣܛܲܦܵܢܘܿܣ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/36."
37.txt,"Narsai. “On the Three Doctors - ܥܲܠ ܐܲܒܼܗ̈ܬܼܵܐ ܘܡܲܠܦܵܢܹ̈ܐ ܝܵܘܢܝܹ̈ܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/37."
38.txt,"Narsai. “On the Iniquity of the World - ܥܲܠ ܒܝܼܫܘܼܬܼ ܙܲܒܼܢܵܐ ܘܠܵܚܹܡ ܠܒܼܵܥܘܼܬܼܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/38."
39.txt,"Narsai. “On Supplication - ܕܒܼܵܥܘܼܬܼܵܐ ܘܲܕܼܨܵܘܡܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/39."
40.txt,"Narsai. “On Jonah - ܥܠ ܝܘܢܢ ܢܒܝܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/40."
41.txt,"Narsai. “On Reproof - ܥܲܠ ܡܲܟܿܣܵܢܘܼܬܼܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/41."
42.txt,"Narsai. “On Human Nature - ܥܠ ܟܝܢܐ ܐܢܫܝܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/42."
43.txt,"Narsai. “For Any Saints Day - ܡܐܡܪܐ ܕܚܕ ܦܪܨܘܦܐ.” Based upon Vat. Sir. 588. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/43."
44.txt,"Narsai. “On the Departed and the Resurrection - ܡܐܡܪܐ ܕܥܠ ܥܢܝܕ̈ܐ ܘܥܠ ܚܝܬ ܡܝ̈ܬܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/44."
45.txt,"Narsai. “On Works - ܥܲܠ ܓܡܝܼܪܘܼܬ ܕܘܼܒܵܪܹ̈ܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/45."
46.txt,"Narsai. “On Lent I - ܕܚܲܕܼܒܿܫܲܒܵܐ ܩܲܕܼܡܵܝܵܐ ܕܨܵܘܡܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/46."
47.txt,"Narsai. “On the Temptation of Christ - ܥܲܠ ܕܪ̈ܵܘܗܝ ܕܡܪܢ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/47."
48.txt,"Narsai. “On the Temptation of Christ - ܥܲܠ ܕܪ̈ܵܘܗܝ ܕܡܵܪܲܢ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/48."
49.txt,"Narsai. “On Lent III - ܕܚܲܕܼܒܿܫܲܒܵܐ ܕܲܬܼܠܵܬܼܵܐ ܕܨܵܘܡܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/49."
50.txt,"Narsai. “On Lent IV - ܕܚܲܕܼܒܿܫܲܒܵܐ ܕܐܲܪܒܿܥܵܐ ܕܨܵܘܡܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/50."
51.txt,"Narsai. “On Reproof - ܥܲܠ ܡܸܣܟܹܿܢܘܼܬܼܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/51."
52.txt,"Narsai. “On Lent V - ܕܚܲܕܼܒܿܫܲܒܵܐ ܕܚܲܡܫܵܐ ܕܨܵܡܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/52."
53.txt,"Narsai. “On the Parable of the Ten Virgins - ܕܚܲܕܼܒܿܫܲܒܵܐ ܕܸܫܬܵܐ ܕܨܵܘܡܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/53."
54.txt,"Narsai. “On the Raising of Lazarus - ܥܲܠ ܩܝܵܡܬܹܗ ܕܠܵܠܙܲܪ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/54."
55.txt,"Narsai. “On Palm Sunday - ܐܚܪܸܢܐ ܕܥܸܐܕܐ ܕܐܘܼܫܥܵܢܐ.” Based upon BL Or. 9368. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/55."
56.txt,"Narsai. “On Palm Sunday - ܕܐܘܫܥ̈ܢܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/56."
57.txt,"“Chronicle of Edessa - ܬܫ̈ܥܝܬܐ ܕܣܘܥܪ̈ܢܐ.” Based upon Ignazio Guidi ed., Chronica Minora I (Paris: Typographeo Reipublicae, 1902). Digital Syriac Corpus. Last modified July 5, 2017. https://syriaccorpus.org/57."
58.txt,"Narsai. “Against the Jews - ܠܘܼܩܒܲܠ ܝܗ̄ܘܼܕܼܵܝܹ̈ܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/58."
59.txt,"Narsai. “On the Canaanite Woman - ܕܟܢܥܢܝܬܐ.” Based upon Vat. sir. 594. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/59."
60.txt,"Narsai. “On the Prodigal Son - ܕܥܲܠ ܒܪܵܐ ܐܣܵܘܿܛܵܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/60."
61.txt,"Narsai. “On Holy Week - ܕܚܲܡܫܵܒܿܫܲܒܵܐ ܕܦܸܨܚܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/61."
62.txt,"Narsai. “On the Mysteries - ܥܲܠ ܦܘܼܫܵܩ ܐ̄ܪ̈ܵܙܹܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/62."
63.txt,"Narsai. “On the Passion - ܡܲܪܒܲܥܪܘܿܒܼܬܵܐ ܕܚܲܫܵܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/63."
64.txt,"Narsai. “On the Repentant Thief - ܥܲܠ ܓܲܝܵܣܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/64."
65.txt,"Narsai. “On Mysteries and Baptism - ܥܲܠ ܐ̄ܪ̈ܙܹܐ ܕܥܹܕܿܬܵܐ ܘܥܲܠ ܡܲܥܡܘܿܕܼܝܼܬܼܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/65."
66.txt,"Narsai. “On Baptism - ܥܲܠ ܡܲܥܡܘܿܕܼܝܼܬܼܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/66."
67.txt,"Narsai. “On the Resurrection - ܡܲܪܒܚܲܕ ܒܫܲܒܵܐ ܩܲܕܝܼܫܵܐ ܕܲܩܝܵܡܬܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/67."
68.txt,"Narsai. “On the Confessors - ܕܲܥܪܘܼܒܼܬܵܐ ܕܡܵܘܕܿܝܵܢܹ̈ܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/68."
70.txt,"Narsai. “On the Martyrs - ܥܲܠ ܣܵܗ̈ܕܹܿܐ.” Based upon BL Or. 9363. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/70."
71.txt,"Narsai. “On the New Creation - ܥܲܠ ܚܘܼܕܵܬܼܵܐ ܕܲܒܼܪܝܼܬܼܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/71."
72.txt,"Narsai. “On the Ascension - ܥܲܠ ܣܘܼܠܵܩܹܗ ܕܡܵܪܲܢ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/72."
73.txt,"Narsai. “On Pentecost - ܥܲܠ ܝܘܿܡ ܥܹܐܕܼܵܐ ܕܦܲܢܛܹܩܘܼܣܛܹܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/73."
74.txt,"Narsai. “On the Workers in the Vineyard - ܥܲܠ ܦܠܐܬܵܐ ܗ̇ܝ ܦܥ̈ܠܹܐ ܠܟܲܪܡܹܗ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/74."
75.txt,"Narsai. “On the Rich Man and Lazarus - ܥܲܠ ܥܲܬܿܝܼܪܵܐ ܘܠܵܥܵܙܵܪ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/75."
76.txt,"Narsai. “On Creation of Adam and Eve - ܥܲܠ ܬܘܼܩܵܢܵܐ ܕܐܵܕܼܡ ܘܚܵܘܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/76."
77.txt,"Narsai. “On Humility - ܥܲܠ ܡܲܟܼܝܼܟܘܼܬܼܵܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/77."
78.txt,"Narsai. “On the Antichrist - ܥܲܠ ܡܹܐܬܼܝܼܬܹܗ ܕܐܲܢܛܝܼܟܿܪܸܣܛܘܿܣ.” Based upon BL Or. 9363. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/78."
79.txt,"Narsai. “On the Second Coming - ܥܲܠ ܓܠܝܵܢܹܗ ܕܡܵܪܲܢ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/79."
80.txt,"Narsai. “On the Wheat and the Tares - ܥܠ ܡܬܠܐ ܗ̇ܘ ܕܙܪܥܐ ܘܙܝܙ̈ܢܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/80."
81.txt,"Narsai. “On the Finding of the Holy Cross - ܥܲܠ ܥܹܐܕܵܐ ܕܲܫܟܼܵܚܬܵܐ ܕܲܨܠܝܼܒܼܵܐ ܩܲܕܿܝܼܫܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/81."
82.txt,"Narsai. “On the Bronze Serpent - ܥܲܠ ܚܸܘܝܵܐ ܕܲܢܚܵܫܵܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/82."
83.txt,"Narsai. “On the Incarnation of Christ - ܥܲܠ ܦܲܓܼܪܵܢܘܼܬܗ ܕܡܵܪܲܢ ܡܫܝܼܚܵܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/83."
84.txt,"Narsai. “On the Tabernacle - ܥܲܠ ܬܘܼܩܵܢܵܐ ܕܡܲܫܟܵܢ ܙܲܒܼܢܵܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/84."
85.txt,"Narsai. “On Isaiah's Vision - ܥܲܠ ܚܙܵܬ̣ܵܐ ܕܲܣܪ̈ܵܦܹܐ ܕܲܚܙܵܐ ܐܹܫܲܥܝܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/85."
86.txt,"Narsai. “On the Church and the Priesthood - ܥܲܠ ܥܹܕܿܬܵܐ ܘܥܲܠ ܟܵܗܢܘܼܬܼܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/86."
87.txt,"Narsai. “On the Dedication of the Church - ܥܲܠ ܩܘܼܕܵܫܥܹܕܿܬܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/87."
88.txt,"Narsai. “On Creation II - ܥܲܠ ܒܪܵܫܝܼܬܼ ܘܥܲܠ ܐܝܼܬܼܘܼܬܹܗ ܕܐܲܠܵܗܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/88."
89.txt,"Narsai. “On Creation III - ܥܲܠ ܬܘܼܩܵܢܵܗ̇ ܕܲܒܼܪܝܼܬܼܵܐ ܘܡܵܘܕܲܥ ܐܵܦ ܥܲܠ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/89."
90.txt,"Narsai. “On Creation I - ܥܲܠ ܬܘܼܩܵܢܵܐ ܕܲܒܼܪܝܼܬܼܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/90."
91.txt,"Narsai. “On Creation V - ܥܲܠ ܬܘܼܩܵܢܵܐ ܕܡܲܠܲܐܟܹ̈ܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/91."
92.txt,"Narsai. “On Creation VI - ܥܲܠ ܕܘܼܒܵܪܵܐ ܕܡܲܠܲܐܟܹ̈ܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/92."
93.txt,"Narsai. “On the Soul - ܥܲܠ ܡܝܲܬܿܪܘܼܬܼܵܐ ܕܢܲܦܫܵܐ ܘܕܲܐܝܼܟܲܢܵܐ ܡܦܲܪܢܣܵܐ .” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/93."
94.txt,"Narsai. “On the Blessing of Noah - ܥܲܠ ܒܘܼܪ̈ܟܬܵܐ ܕܝܲܗ̣ܒ ܢܘܿܚ ܠܲܒܢܵܘ̈ܗܝ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/94."
95.txt,"Narsai. “On the Tower of Babel - ܥܲܠ ܡܲܓܕܠܵܐ ܕܒܵܒܸܠ ܘܥܲܠ ܦܘܼܠܵܓܼ ܠܸܫܢܹ̈ܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/95."
96.txt,"Narsai. “On Job - ܥܲܠ ܐܝܼܘܿܒܼ ܙܲܕܿܝܼܩܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/96."
97.txt,"Narsai. “On Joseph - ܥܲܠ ܝܵܘܣܸܦ ܟܲܕܼ ܙܲܒܿܢܘܼܗܝ ܐܲܚܵܘ̈ܗܝ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/97."
98.txt,"Narsai. “On the Flood - ܥܲܠ ܛܵܘܦܵܢܵܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/98."
99.txt,"Narsai. “On the Miracles of Moses - ܥܲܠ ܓܲܒܼܝܘܼܬܹܗ ܕܡܘܼܫܹܐ: ܘܥܲܠ ܢܘܼܪܵܐ ܕܲܚܙܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/99."
100.txt,"Matthew the Evangelist. “Gospel of Matthew - ܐܘܢܓܠܝܘܢ ܕܡܬܝ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/100."
101.txt,"Narsai. “On Samson - ܥܲܠ ܫܸܡܫܘܿܢ ܓܲܢ̄ܒܵܪܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/101."
102.txt,"Narsai. “On David and Saul - ܥܠ ܕܘܼܝܼܕ ܘܫܐܘܿ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/102."
103.txt,"Narsai. “On Solomon - ܥܲܠ ܫܠܹܝܡܘܿܢ ܘܥܲܠ ܓܒܝܼܬܹܗ ܘܥܲܠ ܕܝܢܘܼܬܹܗ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/103."
104.txt,"Narsai. “On Enoch and Elijah - ܥܲܠ ܫܘܼܢܚܹܗ ܕܚܢܘܿܟ ܘܕܐܠܝܐ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/104."
105.txt,"Narsai. “On the Three Children - ܥܲܠ ܚܲܢܲܢܝܵܐ ܘܥܲܙܲܪܝܵܐ ܘܡܝܼܫܵܐܹܝܠ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/105."
106.txt,"Narsai. “On Reproof of the Clergy - ܥܲܠ ܡܲܟܿܣܵܢܘܼܬܼܵܐ ܕܟܼܵܗܢܹ̈ܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/106."
